st_teff,st_raderr2,st_tefferr1,st_tefferr2,pl_insolerr2,pl_insol,pl_radeerr1,pl_trandep,pl_eqt,st_rad,pl_orbpererr2,pl_insolerr1,pl_rade,pl_radeerr2,pl_trandeperr1,st_raderr1,pl_orbpererr1,dec,ra,pl_orbper,pl_trandeperr2,disposition,source,pl_rad_to_star_rad_ratio,pl_signal_significance
5735.0,-0.145,155.0,-172.0,-486.6,1355.88,9.0,1620.6,1547.0,0.973,-1.015e-06,1105.99,32.43,-4.83,19.0,0.27,1.015e-06,38.31028,294.36819,1.626630225,-19.0,FALSE POSITIVE,Kepler,33.32990750256938,85.29473684210525
6214.0,-0.118,174.0,-239.0,-309.76,960.79,1.02,837.5,1420.0,1.076,-3.8e-06,931.74,3.12,-0.34,14.5,0.353,3.8e-06,38.494659,291.65353,2.711504086,-14.5,CONFIRMED,Kepler,2.899628252788104,57.758620689655174
6214.0,-0.118,174.0,-239.0,-84.01,260.58,1.09,950.4,1025.0,1.076,-1.553e-05,252.7,3.32,-0.36,19.5,0.353,1.553e-05,38.494659,291.65353,7.21203748,-19.5,CONFIRMED,Kepler,3.085501858736059,48.738461538461536
5799.0,-0.065,161.0,-168.0,-14.34,60.35,0.71,459.9,711.0,0.878,-0.0001643,67.75,1.88,-0.14,51.9,0.333,0.0001643,51.321671,291.0448,14.1798187,-51.9,FALSE POSITIVE,Kepler,2.14123006833713,8.861271676300579
5354.0,-0.066,159.0,-159.0,-19.3,75.44,0.37,1123.5,751.0,0.788,-1.56e-05,35.44,2.59,-0.22,26.7,0.113,1.56e-05,51.319519,296.36652,8.47237911,-26.7,CONFIRMED,Kepler,3.2868020304568524,42.07865168539326
5354.0,-0.066,159.0,-159.0,-1.4,5.49,0.34,931.3,390.0,0.788,-0.0005043,2.58,2.36,-0.2,49.6,0.113,0.0005043,51.319519,296.36652,60.4189369,-49.6,CONFIRMED,Kepler,2.99492385786802,18.776209677419352
5795.0,-0.091,156.0,-173.0,-21.39,76.15,2.2,6105.6,753.0,0.919,-6.65e-06,66.33,7.4,-0.73,27.6,0.273,6.65e-06,51.737381,289.11221,12.611904345,-27.6,CONFIRMED,Kepler,8.052230685527748,221.2173913043478
6017.0,-0.23,72.0,-90.0,-1136.62,3209.29,8.01,1976.3,1920.0,1.339,-7.41e-07,1411.94,46.58,-8.0,20.4,0.23,7.41e-07,37.728828,290.84369,1.433769925,-20.4,FALSE POSITIVE,Kepler,34.78715459297984,96.87745098039215
5927.0,-0.137,176.0,-193.0,-46.77,139.26,8.61,871.7,876.0,1.06,-2.846e-05,125.69,28.59,-3.69,26.4,0.319,2.846e-05,37.713501,291.84891,10.31872301,-26.4,FALSE POSITIVE,Kepler,26.971698113207545,33.0189393939394
5519.0,-0.14,82.0,-74.0,-212.44,743.09,0.29,382.1,1332.0,1.062,-5.073e-06,290.34,2.06,-0.28,11.4,0.154,5.073e-06,37.905659,291.43997,2.539183147,-11.4,CONFIRMED,Kepler,1.9397363465160076,33.51754385964912
