pl_insolerr1,pl_insol,st_tefferr2,dec,pl_radeerr1,pl_orbper,st_raderr2,pl_trandeperr2,st_raderr1,pl_trandep,st_tefferr1,st_teff,pl_eqt,ra,pl_radeerr2,pl_orbpererr1,pl_trandeperr1,st_rad,pl_orbpererr2,pl_rade,pl_insolerr2,disposition,source
2.64,3.92,-152.0,48.505859,0.48,91.7732862,-0.077,-36.2,0.181,652.0,152.0,5586.0,359.0,285.71854,-0.21,0.0007518,36.2,0.798,-0.0007518,2.12,-1.06,CONFIRMED,Kepler
146.52,349.4,-77.0,48.727589,1.96,4.959319244,-0.13,-20.0,0.173,9802.0,77.0,5712.0,1103.0,292.16705,-1.46,5.15e-07,20.0,1.082,-5.15e-07,12.21,-93.21,CONFIRMED,Kepler
411.33,527.81,-182.0,48.777321,1.64,2.701287801,-0.105,-20.9,0.228,860.4,182.0,5550.0,1222.0,297.92365,-0.75,5.634e-06,20.9,0.91,-5.634e-06,6.54,-166.35,FALSE POSITIVE,Kepler
365.71,389.62,-210.0,48.791592,0.65,4.49876511,-0.1,-17.5,0.3,460.0,189.0,6075.0,1133.0,298.45685,-0.22,1.777e-05,17.5,0.969,-1.777e-05,2.1,-117.4,CONFIRMED,Kepler
62.46,67.03,-210.0,48.933842,3.92,19.651209505,-0.144,-27.7,0.336,11766.0,168.0,6074.0,730.0,291.0939,-1.69,5.862e-06,27.7,1.063,-5.862e-06,12.42,-23.51,FALSE POSITIVE,Kepler
137.29,337.68,-115.0,46.276241,0.43,5.412203927,-0.142,-4.0,0.157,601.6,104.0,5779.0,1093.0,287.88733,-0.38,3.052e-06,4.0,1.087,-3.052e-06,2.94,-102.18,CONFIRMED,Kepler
14.66,16.72,-164.0,49.017342,1.57,41.43958662,-0.183,-22.6,0.297,2793.1,180.0,5468.0,516.0,295.55505,-0.96,7.557e-05,22.6,1.046,-7.557e-05,5.5,-6.64,CONFIRMED,Kepler
59.06,91.9,-152.0,49.277351,0.54,8.35389523,-0.073,-28.2,0.169,1041.6,152.0,5592.0,790.0,285.49924,-0.24,1.524e-05,28.2,0.787,-1.524e-05,2.52,-24.15,CONFIRMED,Kepler
542.47,565.35,-239.0,49.253979,1.44,4.125543472,-0.128,-13.3,0.358,1487.3,173.0,6174.0,1243.0,291.93616,-0.51,3.133e-06,13.3,1.103,-3.133e-06,4.43,-188.14,CONFIRMED,Kepler
184.34,521.13,-83.0,49.225288,1.62,2.816504904,-0.068,-11.0,0.127,16814.0,74.0,5532.0,1219.0,297.01547,-0.87,1.65e-07,11.0,0.955,-1.65e-07,12.21,-97.95,CONFIRMED,Kepler
3.25,8.11,-151.0,49.360722,0.9,33.93373447,-0.058,-44.3,0.086,8503.7,136.0,5040.0,430.0,284.17233,-0.6,6.154e-05,44.3,0.705,-6.154e-05,7.34,-2.06,FALSE POSITIVE,Kepler
