koi_depth_err1,koi_period,koi_period_err2,koi_depth_err2,koi_teq_err1,koi_steff_err2,koi_disposition,koi_steff_err1,koi_steff,koi_prad_err2,koi_insol_err1,koi_teq_err2,koi_teq,koi_insol_err2,koi_prad_err1,koi_srad_err2,source,koi_insol,koi_prad,koi_srad_err1,koi_depth,koi_period_err1,koi_srad
28.2,7.544039,-0.0001023,-28.2,0.0,-169.0,FALSE POSITIVE,152.0,5657.0,-1.65,81.18,0.0,838.0,-31.91,4.12,-0.078,Kepler,116.46,17.47,0.194,322.6,0.0001023,0.824
21.9,9.02930689,-1.648e-05,-21.9,0.0,-167.0,CONFIRMED,167.0,5349.0,-0.26,43.01,0.0,757.0,-22.28,0.44,-0.082,Kepler,77.75,2.57,0.141,1019.8,1.648e-05,0.82
31.8,10.328035714,-3.762e-06,-31.8,0.0,-169.0,FALSE POSITIVE,169.0,5627.0,-2.41,98.49,0.0,843.0,-48.58,3.64,-0.186,Kepler,119.31,13.28,0.28,16918.0,3.762e-06,1.024
82.4,143.2063047,-0.0002348,-82.4,0.0,-120.0,CONFIRMED,98.0,5485.0,-0.38,0.59,0.0,308.0,-0.35,0.82,-0.037,Kepler,2.14,8.9,0.079,10566.0,0.0002348,0.867
4.3,6.164876,-4.635e-05,-4.3,0.0,-117.0,CONFIRMED,105.0,5854.0,-0.08,109.03,0.0,1021.0,-65.57,0.13,-0.103,Kepler,256.35,0.79,0.154,55.8,4.635e-05,1.012
64.0,60.32494216,-3.207e-05,-64.0,0.0,-120.0,CONFIRMED,98.0,5485.0,-0.52,1.89,0.0,411.0,-1.09,1.11,-0.037,Kepler,6.77,12.19,0.079,20280.0,3.207e-05,0.867
43.5,29.1598615,-0.0002534,-43.5,0.0,-112.0,CONFIRMED,99.0,5485.0,-0.07,5.61,0.0,524.0,-2.68,0.2,-0.034,Kepler,17.85,1.91,0.092,488.0,0.0002534,0.867
25.7,1.540397253,-2.702e-06,-25.7,0.0,-188.0,FALSE POSITIVE,171.0,5663.0,-2.33,965.56,0.0,1470.0,-306.98,7.44,-0.083,Kepler,1105.68,25.69,0.265,816.1,2.702e-06,0.915
14.1,2.99025443,-1.168e-05,-14.1,0.0,-154.0,FALSE POSITIVE,140.0,4667.0,-0.15,43.55,0.0,918.0,-45.45,0.1,-0.063,Kepler,168.45,1.7,0.042,589.2,1.168e-05,0.731
20.3,1.594745374,-1.13e-07,-20.3,0.0,-178.0,CONFIRMED,160.0,5934.0,-1.33,1067.75,0.0,1539.0,-412.98,3.09,-0.105,Kepler,1329.42,11.3,0.244,15044.0,1.13e-07,0.893
16.6,4.783002698,-5.432e-06,-16.6,0.0,-155.0,CONFIRMED,155.0,5170.0,-0.19,66.39,0.0,886.0,-35.12,0.34,-0.06,Kepler,145.48,2.5,0.111,1008.7,5.432e-06,0.807
31.0,20.50588921,-3.206e-05,-31.0,0.0,-148.0,CONFIRMED,148.0,4905.0,-0.31,5.47,0.0,518.0,-4.61,0.28,-0.07,Kepler,17.06,3.41,0.063,2105.5,3.206e-05,0.761
26.6,3.340218842,-3.177e-06,-26.6,0.0,-86.0,CONFIRMED,70.0,3950.0,-0.17,9.67,0.0,656.0,-9.92,0.13,-0.04,Kepler,43.73,2.03,0.033,1632.6,3.177e-06,0.493
